Time (GMT);Link;Website : subject;Website : member name
01/04/2024 18:45;"https://forums.liveatc.net/index.php?action=dlattach;topic=17632.0;attach=12345";Lancair gear issue landing Huntsville ;kb4tez 
01/04/2024 09:47;"https://forums.liveatc.net/index.php?action=dlattach;topic=17631.0;attach=12344";Southwest B738 at Baltimore on Mar 30th 2024 engine stall on very short final ;kb4tez 
29/03/2024 16:20;"https://forums.liveatc.net/index.php?action=dlattach;topic=17628.0;attach=12331";Gear Collapse New Richmond Wisconsin ;kb4tez 
29/03/2024 13:09;"https://forums.liveatc.net/index.php?action=dlattach;topic=17627.0;attach=12328";Plane forced landing on nudist beach Darwin, AU ;kb4tez 
29/03/2024 09:46;"https://forums.liveatc.net/index.php?action=dlattach;topic=17626.0;attach=12327";Rejected Take Off at Sky Harbor ;kb4tez 
29/03/2024 09:23;"https://forums.liveatc.net/index.php?action=dlattach;topic=17625.0;attach=12326";Two Delta planes clip wings on taxi and push ;kb4tez 
28/03/2024 13:29;"https://forums.liveatc.net/index.php?action=dlattach;topic=17623.0;attach=12320";Mooney Gear Collapse at Venice Florida ;kb4tez 
26/03/2024 15:22;"https://forums.liveatc.net/index.php?action=dlattach;topic=17621.0;attach=12317";UAL1003 Reportedly Hits Drone Departing KSFO ;ronr530 
26/03/2024 14:31;"https://forums.liveatc.net/index.php?action=dlattach;topic=17620.0;attach=12316";JBU53 Medical Emergency Due To Turbulence ;ronr530 
25/03/2024 19:33;"https://forums.liveatc.net/index.php?action=dlattach;topic=17619.0;attach=12313";2 die after airplane crashes into wooded area near St Augustine airport ;kb4tez 
25/03/2024 16:42;"https://forums.liveatc.net/index.php?action=dlattach;topic=17618.0;attach=12312";SWA1575 Engine Failure on Departure from KFLL ;ronr530 
21/03/2024 18:12;"https://forums.liveatc.net/index.php?action=dlattach;topic=17613.0;attach=12311";UAL14 Landing Gear Problem After Departure ;ronr530 
21/03/2024 11:50;"https://forums.liveatc.net/index.php?action=dlattach;topic=17610.0;attach=12308";APU Fire causes divert to Corpus Christi ;kb4tez 
21/03/2024 10:22;"https://forums.liveatc.net/index.php?action=dlattach;topic=17609.0;attach=12307";American A319 at Boston on Mar 20th engine compressor stall ;kb4tez 
20/03/2024 10:47;"https://forums.liveatc.net/index.php?action=dlattach;topic=17604.0;attach=12306";Mooney crash due to fuel exhaustion near Modesto ;kb4tez 
18/03/2024 17:11;"https://forums.liveatc.net/index.php?action=dlattach;topic=17602.0;attach=12303";Mooney touch and go ends up in grass at CAMARILLO, CA ;kb4tez 
18/03/2024 06:05;"https://forums.liveatc.net/index.php?action=dlattach;topic=17601.0;attach=12302";"Blue Angels at Travis Air Force Base ""Wings Over Solano"" Saturday Show ";SQK7700 
15/03/2024 09:45;"https://forums.liveatc.net/index.php?action=dlattach;topic=17599.0;attach=12299";Bird strike causes plane to be towed from MSP tarmac ;kb4tez 
14/03/2024 17:14;"https://forums.liveatc.net/index.php?action=dlattach;topic=17597.0;attach=12298";United 1816 lost hydraulic system at SFO ;SQK7700 
14/03/2024 10:21;"https://forums.liveatc.net/index.php?action=dlattach;topic=17596.0;attach=12297";American Airlines Boeing Suffers Mechanical Emergency Mid Flight ;kb4tez 
13/03/2024 10:54;"https://forums.liveatc.net/index.php?action=dlattach;topic=17594.0;attach=12292";Single engine aircraft crashes Warren County, VA ;kb4tez 
12/03/2024 17:44;"https://forums.liveatc.net/index.php?action=dlattach;topic=17593.0;attach=12291";Belly landing Billings Beachcraft ;kb4tez 
11/03/2024 23:48;"https://forums.liveatc.net/index.php?action=dlattach;topic=17591.0;attach=12285";KDCA/KADW - ANC flyover T38 bird strike in engine 3/8/24 ~16:40Z ;baldiedc 
11/03/2024 23:48;"https://forums.liveatc.net/index.php?action=dlattach;topic=17591.0;attach=12286";KDCA/KADW - ANC flyover T38 bird strike in engine 3/8/24 ~16:40Z ;baldiedc 
11/03/2024 23:48;"https://forums.liveatc.net/index.php?action=dlattach;topic=17591.0;attach=12287";KDCA/KADW - ANC flyover T38 bird strike in engine 3/8/24 ~16:40Z ;baldiedc 
11/03/2024 23:48;"https://forums.liveatc.net/index.php?action=dlattach;topic=17591.0;attach=12288";KDCA/KADW - ANC flyover T38 bird strike in engine 3/8/24 ~16:40Z ;baldiedc 
11/03/2024 15:46;"https://forums.liveatc.net/index.php?action=dlattach;topic=17590.0;attach=12284";Re: Small jet crash near Hot Springs airport Sunday ;kb4tez 
09/03/2024 01:40;"https://forums.liveatc.net/index.php?action=dlattach;topic=17586.0;attach=12281";KDCA - DHS above DC for State of Union ;baldiedc 
08/03/2024 16:29;"https://forums.liveatc.net/index.php?action=dlattach;topic=17585.0;attach=12280";Plane slides off runway at Bush Airport No injuries reported ;kb4tez 
07/03/2024 22:51;"https://forums.liveatc.net/index.php?action=dlattach;topic=17583.0;attach=12279";United 777 lost a tire after takeoff at SFO ;SQK7700 
06/03/2024 10:59;"https://forums.liveatc.net/index.php?action=dlattach;topic=17580.0;attach=12276";Small plane crashes in Bellevue after engine failure ;kb4tez 
05/03/2024 11:05;"https://forums.liveatc.net/index.php?action=dlattach;topic=17577.0;attach=12274";5 killed in plane crash near I40 in West Nashville ;kb4tez 
04/03/2024 16:04;"https://forums.liveatc.net/index.php?action=dlattach;topic=17576.0;attach=12273";Cessna landing gear collapse at KORL ;kb4tez 
04/03/2024 15:44;"https://forums.liveatc.net/index.php?action=dlattach;topic=17575.0;attach=12272";Private plane veers off runway at Page Field in South Fort Myers ;kb4tez 
04/03/2024 01:12;"https://forums.liveatc.net/index.php?action=dlattach;topic=17573.0;attach=12266";UAL883 LHR/EWR diverted BGR 3/1/24 14:30-15:00Z due to unruly passenger(s) ;baldiedc 
04/03/2024 01:12;"https://forums.liveatc.net/index.php?action=dlattach;topic=17573.0;attach=12267";UAL883 LHR/EWR diverted BGR 3/1/24 14:30-15:00Z due to unruly passenger(s) ;baldiedc 
04/03/2024 01:12;"https://forums.liveatc.net/index.php?action=dlattach;topic=17573.0;attach=12268";UAL883 LHR/EWR diverted BGR 3/1/24 14:30-15:00Z due to unruly passenger(s) ;baldiedc 
04/03/2024 01:12;"https://forums.liveatc.net/index.php?action=dlattach;topic=17573.0;attach=12269";UAL883 LHR/EWR diverted BGR 3/1/24 14:30-15:00Z due to unruly passenger(s) ;baldiedc 
01/03/2024 17:50;"https://forums.liveatc.net/index.php?action=dlattach;topic=17570.0;attach=12265";Smoke reported inside American Airlines plane cabin at LGA ;kb4tez 
29/02/2024 10:41;"https://forums.liveatc.net/index.php?action=dlattach;topic=17568.0;attach=12262";Private aircraft suffers collapsed landing gear at Page Field Airport ;kb4tez 
27/02/2024 18:29;"https://forums.liveatc.net/index.php?action=dlattach;topic=17566.0;attach=12261";Plane flipped over at Casper ;kb4tez 
22/02/2024 18:04;"https://forums.liveatc.net/index.php?action=dlattach;topic=17563.0;attach=12259";Plane flips over taxiing too close ;kb4tez 
22/02/2024 12:51;"https://forums.liveatc.net/index.php?action=dlattach;topic=17562.0;attach=12258";Nose Gear collapse at FXE ;kb4tez 
21/02/2024 16:18;"https://forums.liveatc.net/index.php?action=dlattach;topic=17560.0;attach=12255";Air Canada plane leaving Halifax receives mid-flight threat, lands safely at EWR ;kb4tez 
20/02/2024 19:07;"https://forums.liveatc.net/index.php?action=dlattach;topic=17559.0;attach=12250";Single Engine Piper Makes Emergency Landing on Long Island Highway ;ronr530 
20/02/2024 17:31;"https://forums.liveatc.net/index.php?action=dlattach;topic=17556.0;attach=12248";Ameriflight 116 - Double Go-Around @ KBUR during early morning storm ;Foxtrot789 
20/02/2024 17:21;"https://forums.liveatc.net/index.php?action=dlattach;topic=17555.0;attach=12247";Daytona Beach window delivery service ;kb4tez 
20/02/2024 17:01;"https://forums.liveatc.net/index.php?action=dlattach;topic=17554.0;attach=12246";Prop Strike Fort Myers Paige Field ;kb4tez 
20/02/2024 10:44;"https://forums.liveatc.net/index.php?action=dlattach;topic=17553.0;attach=12245";American A320 at Portland Feb 16th engine shut down in flight reverser unlocked ;kb4tez 
19/02/2024 11:23;"https://forums.liveatc.net/index.php?action=dlattach;topic=17552.0;attach=12243";Small plane lost power in crash north of Paine Field ;kb4tez 
15/02/2024 13:45;"https://forums.liveatc.net/index.php?action=dlattach;topic=17549.0;attach=12241";ECLIPSE AEROSPACE Lands in Boise   with the towbar ;kb4tez 
15/02/2024 08:35;"https://forums.liveatc.net/index.php?action=dlattach;topic=17548.0;attach=12240";Alaska B39M at Portland, FEB-13-2024, Birdstrike  ;StarTheAvgeek 
14/02/2024 15:54;"https://forums.liveatc.net/index.php?action=dlattach;topic=17547.0;attach=12239";AIRCRAFT PORPOISED ON LANDING INCURRING A PROP STRIKE ;kb4tez 
14/02/2024 15:22;"https://forums.liveatc.net/index.php?action=dlattach;topic=17546.0;attach=12238";AIRCRAFT ON LANDING AND LEFT MAIN GEAR COLLAPSED EVANSVILLE ;kb4tez 
13/02/2024 11:31;"https://forums.liveatc.net/index.php?action=dlattach;topic=17544.0;attach=12237";United B772 enroute on Feb 10th severe turbulence injures 16 ;kb4tez 
12/02/2024 13:21;"https://forums.liveatc.net/index.php?action=dlattach;topic=17542.0;attach=12235";Delta flight makes emergency landing at Montreal airport after smoke detected ;kb4tez 
12/02/2024 11:47;"https://forums.liveatc.net/index.php?action=dlattach;topic=17541.0;attach=12234";Plane crash at Hudson Valley Regional Airport ;kb4tez 
12/02/2024 11:26;"https://forums.liveatc.net/index.php?action=dlattach;topic=17540.0;attach=12233";Small plane crash lands in Goodyear neighborhood after mechanical problems ;kb4tez 
12/02/2024 11:09;"https://forums.liveatc.net/index.php?action=dlattach;topic=17539.0;attach=12230";Small plane narrowly misses house during crash landing in Spanish Fork ;kb4tez 
11/02/2024 18:31;"https://forums.liveatc.net/index.php?action=dlattach;topic=17536.0;attach=12229";Re: CL-600 lost both engines, highway landing flattens pickup truck, fire, S Florida ;StarTheAvgeek 
10/02/2024 18:04;"https://forums.liveatc.net/index.php?action=dlattach;topic=17536.0;attach=12228";Re: CL-600 lost both engines, highway landing flattens pickup truck, fire, S Florida ;Fryy 
10/02/2024 00:13;"https://forums.liveatc.net/index.php?action=dlattach;topic=17537.0;attach=12226";KDCA - Marine One vs. robbery call for MD police ;baldiedc 
10/02/2024 00:13;"https://forums.liveatc.net/index.php?action=dlattach;topic=17537.0;attach=12227";KDCA - Marine One vs. robbery call for MD police ;baldiedc 
09/02/2024 22:54;"https://forums.liveatc.net/index.php?action=dlattach;topic=17536.0;attach=12225";CL-600 lost both engines, highway landing flattens pickup truck, fire, S Florida ;sprinkle 
09/02/2024 14:38;"https://forums.liveatc.net/index.php?action=dlattach;topic=17535.0;attach=12224";Spirit Airlines Lightning Strike MKE divert to ORD ;kb4tez 
08/02/2024 16:51;"https://forums.liveatc.net/index.php?action=dlattach;topic=17533.0;attach=12222";2 Jet Blue planes clip wing tips at de iceing at Logan ;kb4tez 
08/02/2024 11:25;"https://forums.liveatc.net/index.php?action=dlattach;topic=17532.0;attach=12221";Plane crashes on UtahColorado border with two on board no survivors ;kb4tez 
06/02/2024 11:06;"https://forums.liveatc.net/index.php?action=dlattach;topic=17528.0;attach=12214";Skywest CRJ7 at Oklahoma on Feb 2nd lightning strike ;kb4tez 
05/02/2024 15:05;"https://forums.liveatc.net/index.php?action=dlattach;topic=17527.0;attach=12213";Too Much Brake Crystal MN ;kb4tez 
05/02/2024 14:34;"https://forums.liveatc.net/index.php?action=dlattach;topic=17526.0;attach=12212";Gear Issue Louisville ;kb4tez 
05/02/2024 11:14;"https://forums.liveatc.net/index.php?action=dlattach;topic=17525.0;attach=12211";Help to transcribe audio, ZNY NE PA MISC, German/Austrian speaking pilot?? ;StarTheAvgeek 
02/02/2024 14:27;"https://forums.liveatc.net/index.php?action=dlattach;topic=17522.0;attach=12210";Student Pilot has flat tire after landing in Daytona ;kb4tez 
02/02/2024 03:06;"https://forums.liveatc.net/index.php?action=dlattach;topic=17519.0;attach=12209";Small Plane Crashes into Mobile Home Park in Clearwater Florida ;ronr530 
31/01/2024 14:57;"https://forums.liveatc.net/index.php?action=dlattach;topic=17517.0;attach=12208";UAL575 Engine Failure at FL300 Diverts to KATL ;ronr530 
31/01/2024 00:38;"https://forums.liveatc.net/index.php?action=dlattach;topic=17516.0;attach=12207";N315KA avionics issue KMSP ;Kitten-Cat-38474 
30/01/2024 18:25;"https://forums.liveatc.net/index.php?action=dlattach;topic=17515.0;attach=12204";President Biden Arrives KPBI for South Fla visit ;kb4tez 
28/01/2024 16:15;"https://forums.liveatc.net/index.php?action=dlattach;topic=17512.0;attach=12198";AAL1849 Engine Failure at FL320 ;ronr530 
27/01/2024 22:19;"https://forums.liveatc.net/index.php?action=dlattach;topic=17511.0;attach=12196";DLH423 Returns to KBOS After Bird Strike on Departure ;ronr530 
27/01/2024 20:29;"https://forums.liveatc.net/index.php?action=dlattach;topic=17510.0;attach=12193";DCA Tower roasts JBU23 N746JB ;baldiedc 
26/01/2024 18:16;"https://forums.liveatc.net/index.php?action=dlattach;topic=17509.0;attach=12189";GTI8938 Engine Strikes Runway at PANC on Landing ;ronr530 
26/01/2024 13:54;"https://forums.liveatc.net/index.php?action=dlattach;topic=17508.0;attach=12186";WIG1046 Emergency After Departing Manchester NH ;ronr530 
26/01/2024 06:04;"https://forums.liveatc.net/index.php?action=dlattach;topic=17506.0;attach=12183";FFT4635 Engine Fire Indication Departing KDEN ;ronr530 
26/01/2024 05:00;"https://forums.liveatc.net/index.php?action=dlattach;topic=17505.0;attach=12182";UAL2645 Declares Emergency Diverts to KCHS ;ronr530 
25/01/2024 15:21;"https://forums.liveatc.net/index.php?action=dlattach;topic=17504.0;attach=12180";Touch and go engine fail Gainesville ;kb4tez 
25/01/2024 11:09;"https://forums.liveatc.net/index.php?action=dlattach;topic=17503.0;attach=12179";Addison Texas plane ignores ATC and crashes ;kb4tez 
24/01/2024 14:57;"https://forums.liveatc.net/index.php?action=dlattach;topic=17501.0;attach=12172";Ghost Flight Approaching KJFK ;ronr530 
24/01/2024 14:27;"https://forums.liveatc.net/index.php?action=dlattach;topic=17500.0;attach=12171";North Perry Airport Cessna 172 rolls off runway ;kb4tez 
24/01/2024 11:15;"https://forums.liveatc.net/index.php?action=dlattach;topic=17499.0;attach=12170";Teenage pilot dies in light plane crash south-west of Sydney ;kb4tez 
23/01/2024 21:10;"https://forums.liveatc.net/index.php?action=dlattach;topic=17498.0;attach=12167";DAL982 at KATL Loses Nose Wheel Lining up for Takoff ;ronr530 
23/01/2024 16:13;"https://forums.liveatc.net/index.php?action=dlattach;topic=17497.0;attach=12166";AAL1472 Flap Issue at KIAH ;ronr530 
22/01/2024 18:21;"https://forums.liveatc.net/index.php?action=dlattach;topic=17496.0;attach=12163";Ute crashes into a Jetstar plane at Sydney Airport ;kb4tez 
22/01/2024 14:03;"https://forums.liveatc.net/index.php?action=dlattach;topic=17493.0;attach=12162";AFR356 Tail Strike Landing Toronto ;ronr530 
20/01/2024 02:33;"https://forums.liveatc.net/index.php?action=dlattach;topic=17492.0;attach=12161";FDY246 Lands on Roadway Just After Takeoff From KIAD ;ronr530 
19/01/2024 11:05;"https://forums.liveatc.net/index.php?action=dlattach;topic=17491.0;attach=12160";Atlas Air engine fire after takeoff from MIA ;kb4tez 
17/01/2024 11:04;"https://forums.liveatc.net/index.php?action=dlattach;topic=17488.0;attach=12155";Plane crashes on road in Auburn pilot survives with minor injuries ;kb4tez 
16/01/2024 23:02;"https://forums.liveatc.net/index.php?action=dlattach;topic=17487.0;attach=12154";UAL1301 Bird Strike While Landing at KORD ;ronr530 
16/01/2024 16:32;"https://forums.liveatc.net/index.php?action=dlattach;topic=17486.0;attach=12153";JBU355 Engine Fire on Takeoff From KJFK ;ronr530 
16/01/2024 15:40;"https://forums.liveatc.net/index.php?action=dlattach;topic=17485.0;attach=12152";Small plane makes emergency landing on Ajax road pilot escapes without injury ;kb4tez 
16/01/2024 11:03;"https://forums.liveatc.net/index.php?action=dlattach;topic=17484.0;attach=12151";Planes clip wings at OHare International Airport ;kb4tez 
16/01/2024 07:26;"https://forums.liveatc.net/index.php?action=dlattach;topic=17482.0;attach=12150";Kona Runway Closure - ATC Audio ;clarksbrother 
15/01/2024 18:56;"https://forums.liveatc.net/index.php?action=dlattach;topic=17481.0;attach=12147";C17 THUGS on HF  ;Fryy 
15/01/2024 14:41;"https://forums.liveatc.net/index.php?action=dlattach;topic=17480.0;attach=12146";QTR908 Goes Around at YSSY Claims No Approach Clearance Given ;ronr530 
11/01/2024 22:02;"https://forums.liveatc.net/index.php?action=dlattach;topic=17477.0;attach=12143";TSU1015 Unsafe Nose Gear on Short Final into KSDF ;ronr530 
11/01/2024 14:17;"https://forums.liveatc.net/index.php?action=dlattach;topic=17476.0;attach=12142";United Airlines flight makes emergency landing due to possible mechanical issue ;kb4tez 
11/01/2024 12:34;"https://forums.liveatc.net/index.php?action=dlattach;topic=17475.0;attach=12141";Small plane lands with no landing gear at FLL ;kb4tez 
09/01/2024 10:53;"https://forums.liveatc.net/index.php?action=dlattach;topic=17467.0;attach=12126";Twin Engine Planes Landing Gear Woes Results in Plane Going Off Runway ;kb4tez 
09/01/2024 05:17;"https://forums.liveatc.net/index.php?action=dlattach;topic=17466.0;attach=12125";RPA3475 Bird Strike Departing KBDL ;ronr530 
06/01/2024 09:28;"https://forums.liveatc.net/index.php?action=dlattach;topic=17465.0;attach=12124";ASA1258 Depressurization, 05-Jan-2024 ;dacut 
05/01/2024 19:32;"https://forums.liveatc.net/index.php?action=dlattach;topic=17464.0;attach=12122";JIA5278 Cabin Pressurization Problem ;ronr530 
04/01/2024 10:51;"https://forums.liveatc.net/index.php?action=dlattach;topic=17460.0;attach=12115";Lear Jet runs off runway at San Marcos ;kb4tez 
03/01/2024 21:31;"https://forums.liveatc.net/index.php?action=dlattach;topic=17459.0;attach=12114";KSLC - Man on runway ;gntd 
02/01/2024 17:47;"https://forums.liveatc.net/index.php?action=dlattach;topic=17456.0;attach=12112";Re: JAL516 Collision at Tokyo's Haneda Airport ;SQK7700 
02/01/2024 17:47;"https://forums.liveatc.net/index.php?action=dlattach;topic=17456.0;attach=12113";Re: JAL516 Collision at Tokyo's Haneda Airport ;SQK7700 
02/01/2024 13:21;"https://forums.liveatc.net/index.php?action=dlattach;topic=17456.0;attach=12111";JAL516 Collision at Tokyo's Haneda Airport ;ronr530 
02/01/2024 12:17;"https://forums.liveatc.net/index.php?action=dlattach;topic=17454.0;attach=12109";Plane  reportedly stolen from KVGT ;kb4tez 
31/12/2023 14:51;"https://forums.liveatc.net/index.php?action=dlattach;topic=17453.0;attach=12108";SWA464 Returns to KLAS with Flight Control Anomaly ;ronr530 
30/12/2023 19:32;"https://forums.liveatc.net/index.php?action=dlattach;topic=17452.0;attach=12107";SKW5506 Returns to KSFO with Smoke in the Cabin ;ronr530 
29/12/2023 10:55;"https://forums.liveatc.net/index.php?action=dlattach;topic=17451.0;attach=12106";KPBI inbound emergency aircraft with go arounds and all is fine ;kb4tez 
28/12/2023 12:20;"https://forums.liveatc.net/index.php?action=dlattach;topic=17449.0;attach=12104";Southwest flight returns safely to FLL after bird strike ;kb4tez 
28/12/2023 11:28;"https://forums.liveatc.net/index.php?action=dlattach;topic=17446.0;attach=12103";Plane makes belly landing in St. Lucie County after experiencing faulty landing  ;kb4tez 
27/12/2023 17:06;"https://forums.liveatc.net/index.php?action=dlattach;topic=17445.0;attach=12102";ENY3808 Returns to Chicago with Flap Issue ;ronr530 
24/12/2023 12:11;"https://forums.liveatc.net/index.php?action=dlattach;topic=17443.0;attach=12100";NTSB investigating single-engine aircraft crash on Maui ;kb4tez 
23/12/2023 17:23;"https://forums.liveatc.net/index.php?action=dlattach;topic=17442.0;attach=12097";Small plane catches fire mid air makes emergency landing at Spanish Fork Airport ;kb4tez 
21/12/2023 21:40;"https://forums.liveatc.net/index.php?action=dlattach;topic=17438.0;attach=12096";Coyote Troubles at KPBI ;kb4tez 
20/12/2023 23:54;"https://forums.liveatc.net/index.php?action=dlattach;topic=17437.0;attach=12095";Cirrus SR-22 Stuck Flaps ;ronr530 
19/12/2023 17:35;"https://forums.liveatc.net/index.php?action=dlattach;topic=17435.0;attach=12088";Small plane overshoots Miami Executive Airport runway ;kb4tez 
18/12/2023 19:59;"https://forums.liveatc.net/index.php?action=dlattach;topic=17434.0;attach=12086";PLANE MAKES EMERGENCY LANDING NEAR SAPULPA ;kb4tez 
15/12/2023 19:32;"https://forums.liveatc.net/index.php?action=dlattach;topic=17429.0;attach=12084";UAL531 Diverts to Wichita due to Burning Smell ;ronr530 
15/12/2023 15:56;"https://forums.liveatc.net/index.php?action=dlattach;topic=17428.0;attach=12082";Engine malfunction forces emergency plane landing in Greene County field ;kb4tez 
15/12/2023 15:30;"https://forums.liveatc.net/index.php?action=dlattach;topic=17427.0;attach=12081";Mayday, mayday Crashed airplane shuts down interstate near Asheville  ;kb4tez 
14/12/2023 19:49;"https://forums.liveatc.net/index.php?action=dlattach;topic=17425.0;attach=12079";Piedmont E145 at Richlands on Dec 13th 2023 gear problem on departure ;kb4tez 
13/12/2023 11:24;"https://forums.liveatc.net/index.php?action=dlattach;topic=17424.0;attach=12078";PBSO Helicopter Pilot new term for rate of climb ;kb4tez 
11/12/2023 20:27;"https://forums.liveatc.net/index.php?action=dlattach;topic=17423.0;attach=12077";Southwest B38M at Colorado Springs on Dec 8th 2023 overran runway on landing ;kb4tez 
11/12/2023 19:55;"https://forums.liveatc.net/index.php?action=dlattach;topic=17422.0;attach=12076";Delta BCS3 at New York on Dec 10th 2023 smoke in cockpit ;kb4tez 
11/12/2023 15:08;"https://forums.liveatc.net/index.php?action=dlattach;topic=17420.0;attach=12075";JBU420 Flight Control Problem Approaching KJFK ;ronr530 
11/12/2023 10:36;"https://forums.liveatc.net/index.php?action=dlattach;topic=17419.0;attach=12074";2 DEAD IN NW OKLAHOMA CITY PLANE CRASH ;kb4tez 
10/12/2023 19:30;"https://forums.liveatc.net/index.php?action=dlattach;topic=17418.0;attach=12073";JBU223 Cockpit Smoke Indication ;ronr530 
10/12/2023 16:55;"https://forums.liveatc.net/index.php?action=dlattach;topic=17417.0;attach=12072";FFT3918 Attempts Landing at KISP with Zero Visibility and Closed Tower ;ronr530 
06/12/2023 10:52;"https://forums.liveatc.net/index.php?action=dlattach;topic=17414.0;attach=12071";Cowling and Cracked Windsheild at KIWA ;kb4tez 
05/12/2023 11:59;"https://forums.liveatc.net/index.php?action=dlattach;topic=17413.0;attach=12068";2 killed in plane crash near Highway 127 in Limestone County ;kb4tez 
04/12/2023 17:07;"https://forums.liveatc.net/index.php?action=dlattach;topic=17412.0;attach=12067";Runway Taxiway lighting issues at KPBI ;kb4tez 
